package,version,declared_license,scope
unbox-primitive,1.1.0,MIT,development
undici,7.24.8,MIT,development
undici-types,6.21.0,MIT,development
unenv,2.0.0-rc.24,MIT,development
unicode-trie,2.0.0,MIT,development
unpic,4.2.2,MIT,development
unrs-resolver,1.11.1,MIT,development
update-browserslist-db,1.2.3,MIT,development
uri-js,4.4.1,BSD-2-Clause,development
use-callback-ref,1.3.3,MIT,runtime
use-sidecar,1.1.3,MIT,runtime
use-sync-external-store,1.6.0,MIT,runtime
vaul,1.1.2,MIT,runtime
victory-vendor,37.3.6,MIT AND ISC,runtime
vinext,1.0.0-beta.5,MIT,development
vite,8.0.13,MIT,development
vite-plugin-commonjs,0.10.4,MIT,development
vite-plugin-dynamic-import,1.6.0,MIT,development
vitefu,1.1.3,MIT,development
watchpack,2.5.1,MIT,development
web-vitals,4.2.4,Apache-2.0,development
webpack,5.106.2,MIT,development
webpack-sources,3.4.1,MIT,development
which,2.0.2,ISC,development
which-boxed-primitive,1.1.1,MIT,development
which-builtin-type,1.2.1,MIT,development
which-collection,1.0.2,MIT,development
which-typed-array,1.1.20,MIT,development
word-wrap,1.2.5,MIT,development
workerd,1.20260515.1,Apache-2.0,development
wrangler,4.92.0,MIT OR Apache-2.0,development
ws,8.18.0,MIT,development
yallist,3.1.1,ISC,development
yocto-queue,0.1.0,MIT,development
yoga-layout,3.2.1,MIT,development
youch,4.1.0-beta.10,MIT,development
youch-core,0.3.3,MIT,development
zod,3.25.76,MIT,runtime
zod-validation-error,4.0.2,MIT,development
